"Analista","Sub Classificação","Motivo","Data Inicio","CNPJ","Razão Social","Descrição","FCR","Área responsável pela resolução","Origem do contato","Tipo de contato","Data Fim","GN","Solicitante","Observação","Status de liberação","Status de aprovação","Anexos"
"Thiago","Reclamação","Erro na impressão do SLIP","28/11/2025","14261931000101","AUTO POSTO AVENIDA CAPITAO LTDA","Posto com problemas de impressão de slip, transação confirmada. Orientei abrir chamado com a Linx para solução. Estamos acompanhando o tema","SIM","Torre de Expansão","Whatsapp","Receptivo","28/11/2025","G.N. Urbano Sp Oeste","Revendedor",,,,"0"
"Larissa","Dúvida","Alteração/confirmação login Portal KMV","28/11/2025","10478691000510","Dallas Derivados De Petroleo Ltda","Alteração do e-mail de login do prtal KMV de postomarina@veloxmail.com.br para victorleal@veloxmail.com.br. ","SIM","Torre de Expansão","E-mail","Receptivo","28/11/2025","G.N. Urbano Fortaleza","CT",,,"0","0"
"Roberta","Aquisição","OFS Desconto","28/11/2025","48468877000138","BATISTA E CUSTÓDIO Farao Combustiveis LTDA -","Apresentação da OFS Desconto, o revendedor já cadastrou hoje. ","SIM","Torre de Expansão","Whatsapp","Ativo","28/11/2025","G.N. Urbano Goiania","Revendedor",,,"0","0"
"Thiago","Reclamação","Erro na impressão do SLIP","27/11/2025","47481338000176","Auto Posto Planalto De Paulinia Ltda","Posto relata erro na impressão do slip e pede para que chequemos se já a transação foi compensada. Orientei o processo no portal mas de toda forma sanei a duvida pontualmente. ","SIM","Torre de Expansão","Whastapp","Receptivo","27/11/2025","G.N. Urbano Campinas","Revendedor",,,"0","0"
"Thiago","Dúvida","B2C - Casos","28/11/2025","21021038000110",,"Revenda nos acionado por cliente possui bloqueio por suspeita de fraudes e questiona a documentação solicitada via e-mail. Orientado a enviar a documentação e acionar o suporte kmv b2c","SIM","Torre de Expansão","Whatsapp","Receptivo",,"G.N. Urbano Sp Leste","Revendedor",,,"0","0"
"Roberta","Solicitação","Treinamento Produtos Digitais","28/11/2025","48346249000180","Md Auto Posto Ltda","CT Cassio solicita treinamento para o posto com objetivo de mostrar o valor e ferramentas do KMV pois o posto solicita o cancelamento do PPI","SIM","Torre de Expansão","Whatsapp","Receptivo","28/11/2025","G.N. Urbano Goiania","CT",,,"0","0"
"Thiago","Dúvida","OFS Desconto","28/11/2025","53964377000127","Leao Azul","Posto com duvidas sobre os descontos aplicados na Black Friday. Informado o caminho no portal para eles acompanharem.  ","SIM","Torre de Expansão","Whatsapp","Receptivo","28/11/2025","G.N. Urbano Sp Oeste","Revendedor",,,"0","0"
"Roberta","Reclamação","Erro na impressão do SLIP","28/11/2025","48346249000180",,"Revendedor solicita confirmação de transação.","SIM","Torre de Expansão","Whatsapp","Receptivo","28/11/2025","G.N. Urbano Goiania","Revendedor",,,,"0"
"Ricardo","Solicitação","Tratativa com Automação","28/11/2025","49928345000107","Posto Piracema Ltda","Solicitado apoio ao Yago e Dioni (Quality/Web Posto) para verificar erro no PDV fixo do Posto Piracema Ltda. O Conecta já está instalado no PDV fixo, porém ao tentar realizar transações KMV, o sistema apresenta mensagem de erro. Revendedor informou que contatou o representante local, mas não obteve retorno.","NÃO","Parceiros Conecta","Teams","Receptivo","03/12/2025","G.N. Urbano Curitiba","CT",,,"0","0"
"Thiago","Solicitação","Ajuste Lat Long","28/11/2025","59641702000191","rm saudade","inserção de lat long","SIM","Torre de Expansão","Whatsapp","Receptivo","28/11/2025","G.N. Urbano Sao Jose Rio Preto","CT",,,,"0"
"Ricardo","Solicitação","Tratativa com Automação","28/11/2025","47708647000136","D M E Comercio De Combustiveis Ltda","Revendedor Antonio, relatou dificuldades para concluir a instalação do Conecta no PDV fixo com o representante local. Não possui número de chamado ou protocolo. Posto já possui adesão ao Conecta. Caso encaminhado por e-mail para o Luis e Gabriel da automação Meta. ","NÃO","Parceiros Conecta","Whastapp","Ativo","03/12/2025","G.N. Urbano Londrina","Revendedor",,,"0","0"
"Ricardo","Negociação","OFS Desconto","28/11/2025","577065000285","Abast Fagundes Ltda","Apresentei o projeto “Oferta é Sua Desconto” ao revendedor George, que informou não ter interesse. Justificativa: os preços dos combustíveis estão muito elevados, impossibilitando aplicação de desconto.","SIM","Torre de Expansão","Telefone","Ativo","28/11/2025","G.N. Urbano Porto Alegre",,,,"0","0"
"Ricardo","Aquisição","KMV","28/11/2025","45993033000118","Comercio De Combustiveis Macieira Ltda","Entrei em contato com o revendedor Felipe, para darmos inicio ao processo de ativação do posto no KMV. Passei todas as instruções iniciais para ele. ","NÃO","Torre de Expansão","Whatsapp","Ativo","02/12/2025","G.N. Urbano Porto Alegre","CN",,,"0","0"
"Thiago","Dúvida","OFS Desconto","01/12/2025","46872263000191","Auto Posto Batelao Porto Feliz Ltda.","A rede CURTI/BLUE  manifestou insatisfação porque as ofertas cadastradas não estão refletindo nos descontos para o consumidor final. Para contornar a situação, a Andrea optou por cadastrar individualmente as ofertas em cada posto, e estamos acompanhando o andamento","SIM","Torre de Expansão","Whatsapp","Receptivo",,"G.N. Urbano Sp Oeste","Revendedor",,,"0","0"
"Larissa","Reclamação","B2C - Transação Negada","27/11/2025","10000000000000",,"A pedido a Poliana, consultora de trade, tratamos o caso do Saulo Bento da Cunha - CPF 579.831.356-53 que não conseguia fazer as transações via KMV. Mandamos o caso para o time de Preensão a Fraude onde foi resolvido.","NÃO","Prevenção Fraudes","Whatsapp","Receptivo","01/12/2025",,"CT",,,"0","0"
"Roberta","Reclamação","Instabilidade no APP KMV","01/12/2025","38074571000143","Petro Rio","Eliane informa que o consunsumidor não consegue efetuar o pagamento a tela fica rodando e expira antes de concluir. ","SIM","Coord Produtos Digitais B2B","Whastapp","Receptivo","01/12/2025","G.N. Urbano Goiania","Revendedor",,,"0","0"
"Larissa","Reclamação","Transação cancelada","19/11/2025","3477535000146","G A Com De Derivados De Petroleo Ltda","Transação cancelada","NÃO",,"Whastapp","Receptivo","03/12/2025","G.N. Urbano Fortaleza","Revendedor",,,"0","0"
"Larissa","Dúvida","Alteração/confirmação login Portal KMV","28/11/2025","11519114000169","Comercial Recife - Comercio De Derivado","Confirmação do e-mail de login: americo.construtex@gmail.com","NÃO","Torre de Expansão","Teams","Receptivo","01/12/2025","G.N. Urbano Recife","CN",,,"0","0"
"Thiago","Dúvida","Alteração/confirmação login Portal KMV","01/12/2025","10317892000102","Auto Posto Ilha Negra Ltda","Solicitação de alteração de e-mail para login no Portal Parceiro KMV (postoilhaguaruja@gmail.com), concluída com sucesso via WhatsApp (+55 13 99203-2569) com Mauricio.","SIM","Torre de Expansão","Whatsapp","Receptivo",,,"Revendedor",,,"0","0"
"Thiago","Solicitação","Alteração/confirmação login Portal KMV","01/12/2025","2144883000139","POSTO DE PONTA LTDA","Solicitação de alteração de e-mail para login no Portal Parceiro KMV (postodeponta@gmail.com), realizada com sucesso via WhatsApp pelo consultor Thainã","SIM","Torre de Expansão","Teams","Receptivo","01/12/2025","G.N. Urbano Campinas","CT",,,"0","0"
"Roberta","Solicitação","Dúvida PPI","01/12/2025","48346249000180","Md Auto Posto Ltda","Revendedora solic o cancelamento do KMV","SIM","Trade Marketing","Whastapp","Receptivo","01/12/2025","G.N. Urbano Goiania","Revendedor",,,"0","0"
"Roberta","Solicitação","Transação cancelada","01/12/2025","48346249000180","Md Auto Posto Ltda","Revendedora solicitação de vendas estornadas","SIM","Torre de Expansão","Whatsapp","Receptivo","01/12/2025","G.N. Urbano Goiania","Revendedor",,,"0","0"
"Roberta","Solicitação","Tratativas Financeiras/Repasses","01/12/2025","689380000113","Karserv Combustiveis Lubs E Serv Lt","Solicita conformação da taxa de transação em dinheiro ","SIM","Torre de Expansão","Whatsapp","Receptivo","18/11/2025","G.N. Urbano Goiania","Revendedor",,,"0","0"
"Roberta","Solicitação","Tratativas Financeiras/Repasses","01/12/2025","32044415000153","Auto Posto Comercio De Combustiveis ","Revendedora solicita revisão das taxas de transação em dinheiro ","SIM","Torre de Expansão","Whatsapp","Receptivo","01/12/2025","G.N. Urbano Goiania","Revendedor",,,"0","0"
"Roberta","Solicitação","Tratativas Financeiras/Repasses","01/12/2025","2551867000160","Auto Posto Esquina Ltda","Revendedora solici revisão de MDR","SIM","Torre de Expansão","Whatsapp","Receptivo","01/12/2025","G.N. Urbano Goiania","Revendedor",,,"0","0"
"Roberta","Aquisição","OFS Desconto","01/12/2025","36180754000118","Auto Posto De Combustivel Flaming","Apresentação da OFS Desconto","SIM","Torre de Expansão","Telefone","Ativo","01/12/2025","G.N. Urbano Goiania","Torre",,,"0","0"
"Roberta","Reclamação","Tratativa com Automação","01/12/2025","2754502000133","AP Transportadora SAVANA","Revendedor relata que etsá com problema na automação ","NÃO","Parceiros Conecta","Whatsapp","Receptivo","01/12/2025","G.N. Urbano Goiania","Revendedor",,,"0","0"
"Roberta","Reclamação","Instabilidade no APP KMV","02/12/2025","10522077000770","Posto De Combustiveis Jardins Eireli","Revendedor reporta instabilidade no APP","SIM","Engenharia TI","Whatsapp","Receptivo","02/12/2025","G.N. Urbano Belem","Revendedor",,,"0","0"
"Roberta","Reclamação","Instabilidade no APP KMV","02/12/2025","3156892000102","Vw - Comercio De Combustiveis Ltda","Revendedor reporta instabilidade no APP","SIM","Engenharia TI","Whatsapp","Receptivo","02/12/2025","G.N. Urbano Goiania","Revendedor",,,"0","0"
"Roberta","Reclamação","Instabilidade no APP KMV","02/12/2025","10592852000179","Auto Posto Ipanema Ltda Epp","Revendedor reporta instabilidade no APP","SIM","Engenharia TI","Whatsapp","Receptivo","02/12/2025","G.N. Urbano Belem","Revendedor",,,"0","0"
"Roberta","Reclamação","Instabilidade no APP KMV","02/12/2025","57237149000106","Posto Ideal Setor Leste Planaltina Ltda","Revendedor reporta instabilidade no APP","SIM","Engenharia TI","Whatsapp","Receptivo","02/12/2025","G.N. Urbano Belem","Revendedor",,,"0","0"
"Roberta","Reclamação","Instabilidade no APP KMV","02/12/2025","53875328000118","Posto Antonelli E VItorino America Ltda","Revendedor reporta instabilidade no APP","SIM","Engenharia TI","Whatsapp","Receptivo","02/12/2025","G.N. Urbano Goiania","Revendedor",,,"0","0"
"Roberta","Reclamação","Instabilidade no APP KMV","02/12/2025","10522077000428","Posto De Combustiveis Jardins Eireli","Revendedor reporta instabilidade no APP","SIM","Engenharia TI","Whatsapp","Receptivo","02/12/2025","G.N. Urbano Belem","Revendedor",,,"0","0"
"Thiago","Dúvida","Erro na impressão do SLIP","02/12/2025","56738016000150","A P De Serv Kory Ltda","Posto informou falha na impressão do slip da transação (25/11/2025, R$223,04), mas confirmamos no portal que a transação foi efetivada e orientamos sobre o procedimento no Portal Parceiros.","SIM","Torre de Expansão","Whatsapp","Receptivo","02/12/2025","G.N. Urbano Sp Leste","Revendedor",,,"0","0"
"Roberta","Reclamação","Transação cancelada","02/12/2025","24314878000160","Auto Posto Do Trabalho Maracana Ltda ","Revendedor solicita confirmação de venda estornada, falo com a Ana que fará o repasse ","SIM","Coord. De Controladoria","Whatsapp","Receptivo","02/12/2025","G.N. Rodovia Rio De Janeiro","Torre",,,"0","0"
"Roberta","Reclamação","Instabilidade no APP KMV",,"2394473000146","Posto Liberdade Locatelli","Revendedora recla de vendas estornadas devido instabilidade no APP","SIM","Engenharia TI","Whatsapp","Receptivo","02/12/2025","G.N. Urbano Goiania","Revendedor",,,"0","0"
"Thiago","Solicitação","Erro na impressão do SLIP","02/12/2025","62236617000168","A P De Serv Kory Ltda","Fomos acionados via WhatsApp pelo consultor Wilson Neto. O posto Coesa Auto Posto Ltda (CNPJ: 62.236.617/0001-68) informou que a transação KMV (ABA-204859504, R$ 66,81, 25/11/2025 às 17:29) foi estornada sem impressão do slip. Cliente recusou nova tentativa e funcionário arcou com a diferença. Solicitado estorno pontual em confiança ao posto, e o time financeiro irá realizar o ressarcimento na próxima semana.","SIM","Coord. De Controladoria","Whatsapp","Receptivo",,"G.N. Urbano Ribeirao Preto","CN",,,"0","0"
"Roberta","Solicitação","Treinamento Produtos Digitais","02/12/2025","9241803394","Auto Shoping","Revendedor solicita orientação de como mexer no portal Rede Ipiranga","SIM","Torre de Expansão","Whatsapp","Receptivo","02/12/2025","G.N. Urbano Goiania","Revendedor",,,"0","0"
"Roberta","Solicitação","Treinamento Produtos Digitais","02/12/2025","2394473000146","Posto Locatelli","CN Roger solicita apoio para aplicar treinamento ","SIM","Torre de Expansão","Teams","Receptivo","02/12/2025","G.N. Urbano Goiania","CN",,,"0","0"
"Roberta","Aquisição","Treinamento Produtos Digitais","02/12/2025","2394473000146","Posto locatelli","Entrei em contato com Kezia para treinamento de KMV no posto ","SIM","Torre de Expansão","Whatsapp","Ativo","02/12/2025","G.N. Urbano Goiania","Torre",,,"0","0"
"Ricardo","Solicitação","Ajuste Lat Long","02/12/2025","3331129000170","Posto Monte Alverne Ltda","Solicitação de ajuste de Lat e Long. ","SIM","Torre de Expansão","Teams","Receptivo","02/12/2025","G.N. Urbano Santa Maria","CN",,,"0","0"
"Ricardo","Reclamação","Instabilidade no APP KMV","02/12/2025","77817583000172","P Gas Beira Rio Ltda","Revendedora Marcia, entrou em contato para relatar instabilidade no App KmV. ","NÃO","Engenharia TI","Whastapp","Receptivo","02/12/2025","G.N. Urbano Londrina","Revendedor",,,"0","0"
"Roberta","Solicitação","Transação cancelada","02/12/2025","51829602000197","Rede Ipe Maracaju Posto De Servicos Ltd","Aline, solicita confirmação de vendas cancelas, orientada a enviar o slip pois a venda não foi localizada no portal KMV","SIM","Torre de Expansão","Whatsapp","Receptivo","02/12/2025","G.N. Urbano Goiania","Revendedor",,,"0","0"
"Roberta","Reclamação","B2C - Duplicidade de trans.","02/12/2025","18359457000152","E Chiovetti Ferreira Eireli","Revendedor relata que consumidor teve venda triplicada, orientada a abrir chamado na central PF","SIM","Central Atendimento B2C","Whatsapp","Receptivo","02/12/2025","G.N. Urbano Belem","Revendedor",,,"0","0"
"Roberta","Reclamação","Instabilidade no APP KMV","02/12/2025","29827042000182","Auto posto couto III ","Revendedor relata ""[07:59, 02/12/2025] Carla | Auto Posto Couto 4 Ltda | 46011435000132: Bom dia [07:59, 02/12/2025] Carla | Auto Posto Couto 4 Ltda | 46011435000132: O kmv não esta funcionando","SIM","Engenharia TI","Whatsapp","Receptivo","02/12/2025","G.N. Urbano Goiania","Revendedor",,,"0","0"
"Ricardo","Solicitação","Alteração de Domicílio Bancário","02/12/2025","3331129000170","Posto Monte Alverne Ltda        ","Solicitação de alteração de domicílio bancário. ","SIM","Coord. De Controladoria","Teams","Receptivo","02/12/2025","G.N. Urbano Santa Maria","CN",,,"0","0"
"Larissa","Dúvida","Alteração/confirmação login Portal KMV","03/12/2025","11519114000169","Comercial Recife - Comercio De Derivado","Mesmo após confirmação com o CN a revenda não conseguiu fazer o login no portal, pedi o contato do revendedor (Americo Junior - +55 81 9732-2758). Solucionado após subir planilha com a alteração de e-mail","NÃO","Torre de Expansão","Whatsapp","Ativo","03/12/2025","G.N. Urbano Recife","Revendedor",,,"0","0"
"Larissa","Dúvida","Treinamento Financeiro","01/12/2025","19770536000114","Auto Posto W.S.Combustiveis E Lubrifica","Treinamento realizado com Jeam dia 02/12 as 16hrs","NÃO","Torre de Expansão","Whatsapp","Receptivo","01/12/2025","G.N. Urbano Belo Horizonte","Revendedor",,,"0","0"
"Larissa","Dúvida","Treinamento Financeiro","02/12/2025","27394378000173","Posto De Produtos De Petroleo Oasis Ltd","A pedido do CN, realizado o treinamento financeiro para prevenção a fraude.","SIM","Torre de Expansão","Whatsapp","Ativo","02/12/2025","G.N. Urbano Vitoria","Revendedor",,,"0","0"
"Ricardo","Negociação","OFS Desconto","03/12/2025","46892512000100","Posto Zaka Cajuru Ltda","Apresentei novamente a proposta do projeto Oferta é Sua Desconto ao revendedor Igor. Porém, infelizmente, ele tem se mostrado relutante, visto que já possui um aplicativo local para trabalhar com os próprios descontos.","SIM","Torre de Expansão","Telefone","Ativo","03/12/2025","G.N. Urbano Curitiba","Torre",,,"0","0"
"Thiago","Solicitação","Ajuste Lat Long",,"4978803000176","Aruja Centro Automotivo Ltda","Solicitação via CT de ajuste Lat Long ( Karina Silva) ","SIM","Torre de Expansão","Teams","Ativo","03/12/2025","G.N. Urbano Sp Abc","CT",,,"0","0"
"Larissa","Aquisição","OFS Desconto","27/11/2025","11368640000175","Posto Divino Ltda","Reunião sobre oferta é sua desconto realizada e posto realizou o cadastro da ação para os 3 posto do grupo ","SIM","Torre de Expansão","Teams","Ativo","27/11/2025","G.N. Urbano Vitoria","Torre",,,"0","0"
"Roberta","Solicitação","KMV","03/12/2025","23467987600012","Posto Sao Rafael","Solicita confirmação sobre transações de acúmulo.","SIM","Torre de Expansão","Whatsapp","Receptivo","03/12/2025","G.N. Urbano Belem","Revendedor",,,"0","0"
"Roberta","Solicitação","KMV","03/12/2025","19497817000107","posto 10 deodopolis","CN Talita solicita apoio para acesso ao prtal KMV","SIM","Torre de Expansão","Whatsapp","Receptivo","03/12/2025","G.N. Rodovia Goiania","CN",,,"0","0"
"Roberta","Solicitação","Tratativa com Automação","03/12/2025","2279387000192","Auto Posto Do Turista Ltda – M ","O posto abaixo solicitou a Linx a integração com o Conecta, porém a informação recebida é que falta o código IBM do posto. Acredito que seja a criação de pasta, conforme procedimento padrão da Linx. A Thais já abriu o chamado – REQ0608315","NÃO","Parceiros Conecta","E-mail","Receptivo","03/12/2025","G.N. Urbano Goiania","Torre",,,"1","0"
"Roberta","Negociação","OFS Desconto","03/12/2025","27192758000206"," Aguiar Petrlo","Apresentação de PFS Desconto","SIM","Torre de Expansão","Teams","Ativo","03/12/2025","G.N. Urbano Goiania","Revendedor",,,"0","0"
"Thiago","Solicitação","Tratativa com Automação","04/12/2025","57717655000100","MLN Bauru","o pessoal  da Milenium me chamou para informar que estão enfrentando o mesmo problema, mas apenas no PDV móvel. Eles já abriram chamado conforme orientação nossa.    Ah é Webposto também tá? Posto De Combustiveis Mln Bauru Ltda 57.717.655/0001-00","SIM","Parceiros Conecta","Teams","Receptivo","04/12/2025","G.N. Hipermercado","Revendedor",,,"0","0"
"Larissa","Aquisição","Pacote","04/12/2025","7396700000196","Lord Rodrigo Comer De Combustiveis Ltda","Ativação do pacote ao Lord Rodrigo Comer De Combustiveis Ltda - 7396700000196","NÃO","Torre de Expansão","Whatsapp","Ativo","04/12/2025","G.N. Urbano Rio De Janeiro","Revendedor",,,"0","0"
"Ricardo","Solicitação","Ajuste Lat Long","04/12/2025","45761173000160","Auto Posto Oregon Ltda                 ","Ajuste de coordenadas lat long. ","SIM","Torre de Expansão","Whastapp","Ativo","04/12/2025","G.N. Urbano Curitiba","CT",,,"0","0"
"Ricardo","Dúvida","Treinamento Produtos Digitais","04/12/2025","45761173000160","Auto Posto Oregon Ltda               ","Aplicação de treinamento para o revendedor João, Kmv, Conecta e Oferta é Sua. ","SIM","Torre de Expansão","Teams","Ativo","04/12/2025","G.N. Urbano Curitiba","CT",,,"0","0"
"Larissa","Solicitação","Cadastro de ações","04/12/2025","100000000000",,"Cadastratro de ação de cashback. Email: CASHBACK DIFERENCIADO | Plano de Expansão KMV (8º grupo)","NÃO","Torre de Expansão","E-mail","Receptivo","04/12/2025",,,,,"0","0"
"Ricardo","Reclamação","Tratativas Financeiras/Repasses","04/12/2025","87091997000110","Rede Farroupilha Gestao, Varejo E Inova","O revendedor Cristiano entrou em contato para questionar o atraso nos seus repasses. Informei que vou checar a situação com o nosso financeiro e retornarei.","SIM","Coord. De Controladoria","Whatsapp","Receptivo","04/12/2025","G.N. Urbano Porto Alegre","Revendedor",,,"0","0"
"Larissa","Dúvida","Análise suspeita de fraude","04/12/2025","80979107000162","Cesca & Cia Ltda ","Analise, reunião e e-mail sobre transações em dinheiro mo limite de R$300,00 no Cesca & Cia Ltda - 80979107000162 ","NÃO","Torre de Expansão","Teams","Ativo","04/12/2025","G.N. Rodovia Curitiba","CN",,,"0","0"
"Larissa","Reclamação","Tratativa com Automação","04/12/2025","2234943001429","Postos Alpa Ltda","Pedido da Poliana para apoio com automação da Linx: Visitei ontem o Postos Alpa e a Linx não fez a instalação do conecta no PDV Fixo e nos PDVs móveis.     A única opção disponível é a transação de acúmulo de KM no PDV fixo. Anexos seguem os vídeos do PDV fixo com a tentativa que fizemos de transação de KMV via app, não concluiu e travou o caixa. Nas smart POS não tem nada instalado.     O TI do grupo Alpa abriu chamado solicitando a instalação, porém o n1 passou para o N2. Solicito por favor acionar a Linx para solucionar o mais breve possível. Posto inaugurou em julho e até hoje não recebem o KMV.","NÃO","Parceiros Conecta","E-mail","Receptivo",,"G.N. Urbano Uberlandia","CT",,,"0","0"
"Thiago","Dúvida",,"04/12/2025","61620792000191","Centro Automotivo Bap Gravatinha Ltda","Posto solicitou informações sobre atualização de dados de acesso ao portal kmv . Alterado para  rede.bap@uol.com.b conforme solicitado aproveitamos e apresentamos o oferta é sua.","SIM","Torre de Expansão","Whastapp","Receptivo","04/12/2025","G.N. Urbano Sp Oeste","Revendedor",,,"0","0"
"Thiago","Reclamação","Transação cancelada","04/12/2025","12645422000101","Brasil Leste Auto Posto Ltda","Solicitei à Ana Farandi o estorno da operação referente ao estabelecimento Brasil Leste Auto Posto Ltda (Identificador: ABA-204786969). A previsão para conclusão do processo é 09/12/2025.","NÃO","Coord. De Controladoria","Whastapp","Receptivo","04/12/2025","G.N. Urbano Sp Abc","Revendedor",,,"0","0"
"Ricardo","Dúvida","Transação cancelada","04/12/2025","9164791001646","Rede De Postos Apolo Ltda","Desfazimento, já alinhado com a Ana Paula Farandi, reembolso será acatado. ","SIM","Coord. De Controladoria","Whatsapp","Receptivo","04/12/2025","G.N. Urbano Porto Alegre","Revendedor",,,"0","0"
"Larissa","Reclamação","Erro na impressão do SLIP","05/12/2025","72374952000186","C W 332 Serv Automotores Ltda","Postos do GRUPO JOAO BASTISTA, enviaram reclamações sobre problemas na impressão do slip via PDV movel na Web Posto. Caso encaminhado a Nadine (pista) ","NÃO","KMV Pista","Whatsapp","Receptivo",,"G.N. Urbano Rio De Janeiro","Revendedor",,,"0","0"
"Thiago","Reclamação","Erro na impressão do SLIP","05/12/2025","12074139000169","Auto Posto Talisma VIla Jaguara Ltda","dentificamos duas transações no mesmo valor (R$150,00) realizadas em 13/10/2025 às 23:53 e 23:59 (códigos ABA-201942636 e ABA-201942661). Ambas foram liquidadas e não houve estorno automático. Orientação: Informei ao posto que deve ressarcir pontualmente o consumidor referente à segunda cobrança, conforme verificação no portal KMV.","SIM","Revenda","Whatsapp","Receptivo","05/12/2025","G.N. Urbano Sp Oeste","Revendedor",,,"0","0"
"Ricardo","Reclamação","Transação cancelada","05/12/2025","5815156000144","Auto Posto Portal Da Foz Ltda","Caso de desfazimento, encaminhado para Ana Paula Farandi.","NÃO","Coord. De Controladoria","Whastapp","Receptivo","05/12/2025","G.N. Urbano Londrina","Revendedor",,,"0","0"
"Larissa","Solicitação","Ajuste Lat Long","05/12/2025","55699369000126","Posto Mjs Ltda","Ajuste de lat e long a pedido do Paulo, instrutor de treinamento da Ipiranga. ","SIM","Torre de Expansão","Whatsapp","Receptivo","05/12/2025","G.N. Urbano Belo Horizonte",,,,"0","0"
